egs-序号,egs-考点,egs-分值,egs-时间限制,egs-填空题输入大小,egs-题型,egs-试卷类别,egs-基本题型,egs-选项与解析,egs-是否依赖上级父题目,egs-子题目是否可以随机出现,egs-Directions材料题干,egs-Egs对应标签题型,egs-标题
"","","","","","Multiple Choice","大学英语四级","选择题","1--Believe &&0--To believe &&0--Believing &&0--Believed","0","2","<br />________ it or not, his discovery has created a stir in scientific circles.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--behave &&0--belief &&1--behalf &&0--before","0","2","<br />The candidate is speaking on ________ of his party.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--believe &&0--believed &&1--belief &&0--believes","0","2","<br />I have ________ in the fundamental goodness of human nature.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--benefit &&0--derive &&0--reward &&0--acquire","0","2","<p><br />Not only the professionals but also the amateurs will ________ from the new training facilities.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--counted &&1--calculated &&0--accounted &&0--figured","0","2","<p><br />She ________ that they would arrive at 8:00 am.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--calls on &&1--calls for &&0--calls up &&0--calls off","0","2","<p><br />A well-written composition ________ good choice of words and clear organization among other things.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--delay &&0--refuse &&1--cancel &&0--postpone","0","2","<br />As we can no longer wait for the delivery of our order, we have to ________ it.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--had been canceled &&0--have been canceled &&0--were canceled &&1--having been canceled","0","2","<p><br />All flights ________ because of the snowstorm, many passengers could do nothing but take the train.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--capacity &&0--strength &&0--length &&0--possibility","0","2","<br />Housewives who do not go out to work feel they are not working to their full ________.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--struggle &&1--campaign &&0--battle &&0--conflict","0","2","<br />We have planned an exciting publicity ________ with our advertisers.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--charity &&0--kindness &&0--sympathy &&0--forgiveness","0","2","<br />None of us like to live on ________.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--expending &&0--offering &&0--costing &&1--charging","0","2","<p><br />She was complaining that the doctor was ________ too much for the treatment he was giving her.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--tented &&0--leased &&1--chartered &&0--let","0","2","<br />The travel company had ________ two aircraft for our holiday flights.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--typical &&0--featured &&0--characteristics &&1--characterized","0","2","<br />The giraffe is ________ by its very long neck.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--claims &&0--demands &&0--prices &&1--charges","0","2","<br />This hotel ________ $60 for a single room with bath.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--check in &&0--check on &&0--check over &&0--check up","0","2","<br />Passengers should ________ for flight 122 to Beijing.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--called in &&0--calling in &&0--call in&&1--to call in","0","2","<br />&nbsp;That was so serious a matter that I has no choice but ________ the police.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--chief &&0--cheerful &&0--chorus &&0--chill","0","2","<br />Unemployment was the ________ cause of poverty during the 1930s.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--clarify &&0--classify &&0--distinguish &&1--choose","0","2","<br />She had to ________ between giving up her job or hiring a nanny.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--at&&0--by&&1--on &&0--of","0","2","<br />She choked to death ________ a fish bone.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--conducted &&0--performed &&0--undergone &&0--managed","0","2","<p>A long-term study ________ by the medical school shows that babies of smoking mothers will be less healthy than those of nonsmoking mothers.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
